date,user,stage,metric,result,score,notes
2026-06-07,User A (Founder),Onboarding,CV uploaded successfully,Yes,,
2026-06-07,User A (Founder),Onboarding,Profile generated correctly,Yes,,
2026-06-07,User A (Founder),Onboarding,Follow-up questions understood,Yes,,
2026-06-07,User A (Founder),Job Discovery,Recommendations relevant,,1-10,
2026-06-07,User A (Founder),Job Discovery,Explanation trusted,,1-10,
2026-06-07,User A (Founder),Job Discovery,Would apply?,Yes/No,,
2026-06-07,User A (Founder),Interview Coach,Coaching useful,,1-10,
2026-06-07,User A (Founder),Interview Coach,Questions realistic,,1-10,
2026-06-07,User A (Founder),Interview Coach,Confidence increased,,1-10,
2026-06-07,User A (Founder),Overall,What confused you?,,,
2026-06-07,User A (Founder),Overall,What impressed you?,,,
2026-06-07,User A (Founder),Overall,What would make you return tomorrow?,,,
2026-06-07,User A (Founder),Overall,Would you recommend it to someone else?,Yes/No,,
2026-06-07,User B (Teacher),Onboarding,CV uploaded successfully,Yes,,
2026-06-07,User B (Teacher),Onboarding,Profile generated correctly,Yes,,
2026-06-07,User B (Teacher),Onboarding,Follow-up questions understood,Yes,,
2026-06-07,User B (Teacher),Job Discovery,Recommendations relevant,,1-10,
2026-06-07,User B (Teacher),Job Discovery,Explanation trusted,,1-10,
2026-06-07,User B (Teacher),Job Discovery,Would apply?,Yes/No,,
2026-06-07,User B (Teacher),Interview Coach,Coaching useful,,1-10,
2026-06-07,User B (Teacher),Interview Coach,Questions realistic,,1-10,
2026-06-07,User B (Teacher),Interview Coach,Confidence increased,,1-10,
2026-06-07,User B (Teacher),Overall,What confused you?,,,
2026-06-07,User B (Teacher),Overall,What impressed you?,,,
2026-06-07,User B (Teacher),Overall,What would make you return tomorrow?,,,
2026-06-07,User B (Teacher),Overall,Would you recommend it to someone else?,Yes/No,,
2026-06-07,User C (Non-Technical),Onboarding,CV uploaded successfully,Yes,,
2026-06-07,User C (Non-Technical),Onboarding,Profile generated correctly,Yes,,
2026-06-07,User C (Non-Technical),Onboarding,Follow-up questions understood,Yes,,
2026-06-07,User C (Non-Technical),Job Discovery,Recommendations relevant,,1-10,
2026-06-07,User C (Non-Technical),Job Discovery,Explanation trusted,,1-10,
2026-06-07,User C (Non-Technical),Job Discovery,Would apply?,Yes/No,,
2026-06-07,User C (Non-Technical),Interview Coach,Coaching useful,,1-10,
2026-06-07,User C (Non-Technical),Interview Coach,Questions realistic,,1-10,
2026-06-07,User C (Non-Technical),Interview Coach,Confidence increased,,1-10,
2026-06-07,User C (Non-Technical),Overall,What confused you?,,,
2026-06-07,User C (Non-Technical),Overall,What impressed you?,,,
2026-06-07,User C (Non-Technical),Overall,What would make you return tomorrow?,,,
2026-06-07,User C (Non-Technical),Overall,Would you recommend it to someone else?,Yes/No,,
